,카테고리,건물명,도로명주소,사이거리,x좌표,y좌표
0,CJCGV,CGV 불광,서울 은평구 불광로 20,1765,126.92918154846974,37.60947048970448
1,"공연장,연극극장",은평문화예술회관,서울 은평구 녹번로 16,1392,126.927857538001,37.603667314488
2,"공연장,연극극장",히든트리,서울 은평구 갈현로1길 5-4,326,126.909403928619,37.5990955805828
3,문화원,도솔,서울 은평구 은평로 167,1204,126.92616215183976,37.60146514680882
4,"공연장,연극극장",은평문화예술회관 숲속극장,서울 은평구 은평로21길 54,1460,126.92853554302302,37.60402334776131
5,미술관,포마자동차디자인미술관,경기 고양시 덕양구 향뫼로 91,1726,126.896473051208,37.5917905221845
6,문화원,한국역사문화원,서울 은평구 응암로13길 11-6,1330,126.916318289518,37.5890167887554
7,전시관,서울기록원,서울 은평구 통일로62길 7,2111,126.93485848349184,37.60749879108225
8,전시관,SeMA창고,서울 은평구 통일로 684,2153,126.93435743590821,37.60932571993423
9,메가박스,메가박스 상암월드컵경기장,서울 마포구 월드컵로 240,3711,126.89821583795988,37.569187914348674
10,롯데시네마,롯데시네마 상암(2025년오픈예정),,3094,126.89870939502596,37.57501597277034
11,"공연장,연극극장",연신내인디스테이션,서울 은평구 연서로29길 19,2121,126.918206657734,37.619203979102
12,롯데시네마,롯데시네마 은평,서울 은평구 통일로 1050,4058,126.918018419205,37.6369289518521
13,전시관,시루뫼갤러리,서울 은평구 증산서길 89,1870,126.907035185828,37.5843499089428
14,문화원,논골문화원,서울 서대문구 연희로41나길 1,2091,126.933530362478,37.5918568516117
15,수도권6호선,응암역 6호선,서울 은평구 증산로 지하 477,353,126.9155399209037,37.5984928632876
16,수도권6호선,새절역 6호선,서울 은평구 증산로 지하 400,1087,126.913580663181,37.5908600479967
17,수도권6호선,역촌역 6호선,서울 은평구 서오릉로 지하 63,1100,126.9228437430386,37.60622745935512
18,수도권6호선,구산역 6호선,서울 은평구 연서로 지하 137-1,1249,126.91725947715172,37.61124669148435
19,수도권3호선,불광역 3호선,서울 은평구 통일로 지하 723-1,1884,126.930315826401,37.6100477979795
20,수도권6호선,증산역 6호선,서울 은평구 증산로 지하 306,1892,126.909494991105,37.583746353282
21,수도권3호선,녹번역 3호선,서울 은평구 통일로 지하 602-1,2054,126.935828008217,37.6008067681825
22,수도권3호선,연신내역 3호선,서울 은평구 통일로 지하 849,2195,126.921100704496,37.6192032466353
23,수도권6호선,불광역 6호선,서울 은평구 통일로 지하 723-1,1872,126.92939540272262,37.61087796280672
24,수도권6호선,연신내역 6호선,서울 은평구 통일로 지하 849,2104,126.92045466718463,37.61851445829909
25,수도권6호선,독바위역 6호선,서울 은평구 불광로 지하 129-1,2678,126.933053652461,37.6184141599944
